
Init Node at: | June/24|14:14:14+++++++++++++++++++++++
----------------------------------------
Data at time: June/24|14:14:50 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:51 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:51 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:52 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:52 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:53 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:53 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:54 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:54 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:55 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:55 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:56 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:56 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:57 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:57 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:58 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:58 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:59 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:14:59 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:00 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:00 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:01 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:01 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:02 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:02 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:03 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:03 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:04 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:04 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:05 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:05 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:06 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:06 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:07 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:07 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:08 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:08 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:09 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:09 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:10 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:10 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:11 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:11 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:12 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:12 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:13 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:13 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:14 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:14 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:15 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:15 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:16 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:16 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:17 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:17 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:18 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:18 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:19 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:19 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:20 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:20 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:21 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:21 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:22 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:22 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:23 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:23 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:24 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:24 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:25 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:25 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:26 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:26 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:27 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:27 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:28 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:28 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:29 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:29 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:30 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:30 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:31 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:31 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:32 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:32 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:33 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:33 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:34 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:34 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:35 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:35 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:36 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:36 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:37 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:37 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:38 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:38 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:39 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:39 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:40 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:40 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:41 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:41 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:42 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:42 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:43 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:43 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:44 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:44 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:45 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:45 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:46 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:46 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:47 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:47 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:48 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:48 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:49 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:49 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:50 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:50 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:51 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:51 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:52 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:52 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:53 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:53 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:54 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:54 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:55 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:55 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:56 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:56 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:57 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:57 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:58 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:58 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:59 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:15:59 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:00 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:00 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:01 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:01 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:02 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:02 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:03 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:03 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:04 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:04 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:05 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:05 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:06 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:06 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:07 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:07 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:08 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:08 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:09 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:09 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:10 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:10 | status | limitAhead | limitBehind | checkRack |0 0 0 0
Data at time: June/24|14:16:11 | status | limitAhead | limitBehind | checkRack |0 0 0 0
